pk	pn	lat	lon	link
C1159	Andros: Palaioupolis	37.819222	24.829963	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1159
C116	Plati: Petrogephyra	37.137911	21.999827	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C116
C1160	Andros: Episkopio	37.776634	24.926795	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1160
C1161	Tinos: Vryokastro	37.526157	25.188462	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1161
C1162	Tinos: Ayia Thekla	37.652746	25.030305	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1162
C1163	Kea: Ayia Irini	37.668887	24.325899	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1163
C1164	Kea: Troullos	37.672866	24.322426	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1164
C1165	Kea: Sykamias	37.638018	24.4024	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1165
C1166	Kithnos: Ayia Irini	37.438776	24.428666	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1166
C1167	Mykonos: Palaikastro	37.455102	25.388733	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1167
C1168	Delos: Theke	37.400379	25.267227	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1168
C1169	Delos: Sema	37.400735	25.266264	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1169
C117	Katsarou: Ayios Ilias	37.215366	22.009225	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C117
C1170	Delos: Mt. Kynthos	37.395538	25.272676	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1170
C1171	Naxos: Palati (Grotta)	37.10992	25.37264	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1171
